home_last5_w,home_last5_d,home_last5_l,home_last5_pts,away_last5_w,away_last5_d,away_last5_l,away_last5_pts,home_last5_all_pts,away_last5_all_pts,home_goals_for,home_goals_against,away_goals_for,away_goals_against,h2h_home_w,h2h_away_w,h2h_draw,home_days_rest,away_days_rest,home_ranking_pts,away_ranking_pts,ranking_diff,home_uefa_coef,away_uefa_coef,uefa_coef_diff,is_knockout,matchday,result,home_team,away_team,match_date,home_score,away_score
1,2,0,5,0,1,2,1,8,8,1.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,0,1,0,20,20,0,0,0,50.0,92.0,-42.0,0,6,2,Real Sociedad de Fútbol,Paris Saint-Germain FC,2024-03-05 21:00:00+00:00,1.0,2.0
2,1,0,7,1,0,2,3,10,9,2.0,1.3333333333333333,1.0,2.0,0,1,0,20,20,0,0,0,107.0,54.0,53.0,0,6,1,FC Bayern München,SS Lazio,2024-03-05 21:00:00+00:00,3.0,0.0
3,0,0,9,0,2,1,2,15,7,3.0,1.0,0.6666666666666666,1.0,1,0,0,22,22,0,0,0,103.0,50.0,53.0,0,6,1,Manchester City FC,FC København,2024-03-06 21:00:00+00:00,3.0,1.0
3,0,0,9,2,0,1,6,15,9,2.6666666666666665,0.6666666666666666,2.3333333333333335,1.6666666666666667,1,0,0,22,22,0,0,0,128.0,50.0,78.0,0,6,0,Real Madrid CF,RB Leipzig,2024-03-06 21:00:00+00:00,1.0,1.0
3,0,0,9,2,0,1,6,10,12,4.0,0.0,2.6666666666666665,1.3333333333333333,0,1,0,20,20,0,0,0,97.0,72.0,25.0,0,6,1,Arsenal FC,FC Porto,2024-03-12 21:00:00+00:00,1.0,0.0
3,0,0,9,2,0,1,6,7,8,3.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0,0,1,20,20,0,0,0,98.0,58.0,40.0,0,6,1,FC Barcelona,SSC Napoli,2024-03-12 21:00:00+00:00,3.0,1.0
3,0,0,9,1,2,0,5,10,11,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,0,1,0,22,22,0,0,0,88.0,79.0,9.0,0,6,1,Club Atlético de Madrid,FC Internazionale Milano,2024-03-13 21:00:00+00:00,2.0,1.0
1,2,0,5,1,1,1,4,11,9,1.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,0,0,1,22,22,0,0,0,78.0,58.0,20.0,0,6,1,Borussia Dortmund,PSV,2024-03-13 21:00:00+00:00,2.0,0.0
3,1,0,10,4,0,0,12,13,15,2.25,0.75,3.0,1.25,0,0,0,34,34,0,0,0,128.0,103.0,25.0,0,6,0,Real Madrid CF,Manchester City FC,2024-04-09 21:00:00+00:00,3.0,3.0
4,0,0,12,3,0,1,9,10,10,3.25,0.0,1.5,0.75,0,0,0,28,35,0,0,0,97.0,107.0,-10.0,0,6,0,Arsenal FC,FC Bayern München,2024-04-09 21:00:00+00:00,2.0,2.0
4,0,0,12,2,1,1,7,12,11,3.25,0.75,1.25,1.0,0,0,0,28,28,0,0,0,88.0,78.0,10.0,0,6,1,Club Atlético de Madrid,Borussia Dortmund,2024-04-10 21:00:00+00:00,2.0,1.0
3,1,0,10,1,1,2,4,8,7,2.0,0.25,1.0,1.25,0,0,0,36,29,0,0,0,92.0,98.0,-6.0,0,6,2,Paris Saint-Germain FC,FC Barcelona,2024-04-10 21:00:00+00:00,2.0,3.0
2,2,0,8,1,2,1,5,8,12,1.25,0.25,1.5,1.25,0,1,0,6,6,0,0,0,78.0,88.0,-10.0,0,6,1,Borussia Dortmund,Club Atlético de Madrid,2024-04-16 21:00:00+00:00,4.0,2.0
4,0,0,12,1,1,2,4,10,8,3.0,0.75,1.25,2.0,1,0,0,6,6,0,0,0,98.0,92.0,6.0,0,6,2,FC Barcelona,Paris Saint-Germain FC,2024-04-16 21:00:00+00:00,1.0,4.0
3,1,0,10,1,1,2,4,8,8,2.25,1.0,1.0,1.25,0,0,1,8,8,0,0,0,107.0,97.0,10.0,0,6,1,FC Bayern München,Arsenal FC,2024-04-17 21:00:00+00:00,1.0,0.0
4,0,0,12,4,0,0,12,13,11,3.0,1.0,2.25,1.25,0,0,1,8,8,0,0,0,103.0,128.0,-25.0,0,6,0,Manchester City FC,Real Madrid CF,2024-04-17 21:00:00+00:00,1.0,1.0
4,1,0,13,4,1,0,13,10,9,2.0,0.8,2.0,1.2,0,0,0,13,13,0,0,0,107.0,128.0,-21.0,0,6,0,FC Bayern München,Real Madrid CF,2024-04-30 21:00:00+00:00,2.0,2.0
3,2,0,11,2,1,2,7,8,10,1.8,0.6,1.8,1.8,0,1,1,15,15,0,0,0,78.0,92.0,-14.0,0,6,1,Borussia Dortmund,Paris Saint-Germain FC,2024-05-01 21:00:00+00:00,1.0,0.0
3,1,1,10,2,1,2,7,9,10,2.0,0.8,1.2,1.2,1,1,1,6,6,0,0,0,92.0,78.0,14.0,0,6,2,Paris Saint-Germain FC,Borussia Dortmund,2024-05-07 21:00:00+00:00,0.0,1.0
3,2,0,11,3,1,1,10,7,8,2.4,1.2,1.6,1.0,0,0,1,8,8,0,0,0,128.0,107.0,21.0,0,6,1,Real Madrid CF,FC Bayern München,2024-05-08 21:00:00+00:00,2.0,1.0
4,1,0,13,3,2,0,11,12,7,2.0,0.6,1.8,1.2,0,0,0,25,24,0,0,0,78.0,128.0,-50.0,0,6,2,Borussia Dortmund,Real Madrid CF,2024-06-01 21:00:00+00:00,0.0,2.0
1,0,0,3,0,0,0,0,4,0,3.0,0.0,0.0,0.0,0,0,0,6,0,0,0,0,50.0,50.0,0.0,0,1,2,FK Panevėžys,Jagiellonia Białystok,2024-07-23 17:30:00+00:00,0.0,4.0
1,0,0,3,0,0,0,0,6,0,4.0,0.0,0.0,0.0,0,0,0,7,0,0,0,0,50.0,50.0,0.0,0,1,0,FCSB,Maccabi Tel Aviv,2024-07-23 19:30:00+00:00,1.0,1.0
1,0,0,3,0,0,0,0,4,0,2.0,1.0,0.0,0.0,0,0,0,7,0,0,0,0,50.0,45.0,5.0,0,1,2,Shamrock Rovers,AC Sparta Praha,2024-07-23 21:00:00+00:00,0.0,2.0
1,0,0,3,1,0,0,3,3,4,3.0,1.0,1.0,0.0,0,0,0,7,8,0,0,0,50.0,50.0,0.0,0,1,1,PFC Ludogorets Razgrad,Dinamo Minsk,2024-07-24 20:00:00+00:00,2.0,0.0
1,0,0,3,1,0,0,3,6,6,2.0,1.0,2.0,1.0,0,0,0,8,7,0,0,0,50.0,50.0,0.0,0,1,0,NK Celje,ŠK Slovan Bratislava,2024-07-24 20:15:00+00:00,1.0,1.0
1,0,0,3,0,0,0,0,4,3,1.0,0.0,0.0,0.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,0,CS Petrocub,APOEL Nikosia,2024-07-30 19:00:00+00:00,1.0,1.0
1,0,0,3,0,0,0,0,4,3,3.0,0.0,0.0,0.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,2,The New Saints,Ferencvárosi TC,2024-07-30 20:00:00+00:00,1.0,2.0
1,0,0,3,1,0,0,3,7,7,4.0,2.0,5.0,0.0,0,0,1,6,6,0,0,0,50.0,50.0,0.0,0,1,1,ŠK Slovan Bratislava,NK Celje,2024-07-30 20:30:00+00:00,5.0,0.0
1,0,0,3,0,0,0,0,4,3,2.0,0.0,0.0,0.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,1,KÍ Klaksvík,Malmö FF,2024-07-30 20:45:00+00:00,3.0,2.0
1,0,0,3,0,0,0,0,6,3,3.0,0.0,0.0,0.0,0,1,0,8,8,0,0,0,50.0,34.0,16.0,0,1,2,FK RFS,FK Bodø/Glimt,2024-07-31 19:00:00+00:00,1.0,3.0
0,1,0,1,0,0,1,0,4,6,0.0,0.0,0.0,1.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,1,Dinamo Minsk,PFC Ludogorets Razgrad,2024-07-31 20:45:00+00:00,1.0,0.0
1,0,0,3,0,0,0,0,3,3,1.0,0.0,0.0,0.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,2,Borac Banja Luka,PAOK Saloniki,2024-07-31 21:00:00+00:00,0.0,1.0
1,0,0,3,0,0,2,0,6,6,5.0,0.0,0.0,1.0,0,0,0,7,5,0,0,0,50.0,50.0,0.0,0,1,2,Qarabağ FK,PFC Ludogorets Razgrad,2024-08-06 18:00:00+00:00,1.0,2.0
1,0,0,3,1,0,0,3,3,6,4.0,1.0,1.0,0.0,0,0,0,6,5,0,0,0,50.0,50.0,0.0,0,1,0,Malmö FF,PAOK Saloniki,2024-08-06 19:00:00+00:00,2.0,2.0
1,0,0,3,1,0,0,3,6,6,1.0,0.0,2.0,1.0,0,0,0,6,6,0,0,0,50.0,50.0,0.0,0,1,1,FC Midtjylland,Ferencvárosi TC,2024-08-06 19:15:00+00:00,2.0,0.0
1,0,0,3,2,0,0,6,6,10,4.0,2.0,4.0,0.5,0,0,0,7,6,0,0,0,45.0,50.0,-5.0,0,1,0,AC Sparta Praha,FCSB,2024-08-06 20:00:00+00:00,1.0,1.0
1,0,0,3,0,0,0,0,6,0,6.0,2.0,0.0,0.0,0,0,0,6,0,0,0,0,50.0,50.0,0.0,0,1,0,Dinamo Kiev,Rangers FC,2024-08-06 20:00:00+00:00,1.0,1.0
2,0,0,6,0,1,0,1,10,4,4.5,1.0,1.0,1.0,0,0,0,8,8,0,0,0,50.0,50.0,0.0,0,1,1,ŠK Slovan Bratislava,APOEL Nikosia,2024-08-07 20:30:00+00:00,2.0,0.0
1,0,0,3,1,0,0,3,6,6,3.0,1.0,3.0,1.0,0,0,0,7,7,0,0,0,50.0,34.0,16.0,0,1,2,Jagiellonia Białystok,FK Bodø/Glimt,2024-08-07 20:45:00+00:00,0.0,1.0
1,0,0,3,1,1,0,4,4,13,1.0,0.0,1.5,1.0,0,1,0,5,5,0,0,0,50.0,50.0,0.0,0,1,0,APOEL Nikosia,ŠK Slovan Bratislava,2024-08-13 19:00:00+00:00,0.0,0.0
1,0,0,3,1,0,0,3,9,6,4.0,0.0,4.0,0.0,1,0,0,5,5,0,0,0,34.0,50.0,-16.0,0,1,1,FK Bodø/Glimt,Jagiellonia Białystok,2024-08-13 19:00:00+00:00,4.0,1.0
1,0,0,3,0,0,0,0,6,3,2.0,1.0,0.0,0.0,0,1,0,6,6,0,0,0,50.0,50.0,0.0,0,1,0,Fenerbahçe,Lille OSC,2024-08-13 19:00:00+00:00,1.0,1.0
1,0,0,3,0,0,1,0,7,4,3.0,2.0,2.0,3.0,0,0,1,7,7,0,0,0,50.0,50.0,0.0,0,1,2,PAOK Saloniki,Malmö FF,2024-08-13 19:30:00+00:00,3.0,4.0
2,0,0,6,1,0,0,3,9,6,2.5,0.5,2.0,0.0,1,0,0,7,7,0,0,0,50.0,50.0,0.0,0,1,2,PFC Ludogorets Razgrad,Qarabağ FK,2024-08-13 20:00:00+00:00,2.0,7.0
1,0,0,3,1,0,0,3,6,9,5.0,0.0,3.0,0.0,0,1,0,7,7,0,0,0,50.0,50.0,0.0,0,1,0,Ferencvárosi TC,FC Midtjylland,2024-08-13 20:00:00+00:00,1.0,1.0
1,1,0,4,1,0,0,3,11,7,2.5,0.5,2.0,0.0,0,0,1,7,7,0,0,0,50.0,45.0,5.0,0,1,2,FCSB,AC Sparta Praha,2024-08-13 20:30:00+00:00,2.0,3.0
1,0,0,3,1,0,0,3,4,6,2.0,1.0,1.0,0.0,0,0,0,7,7,0,0,0,50.0,42.0,8.0,0,1,1,Lille OSC,SK Slavia Praha,2024-08-20 21:00:00+00:00,2.0,0.0
2,0,0,6,0,0,3,0,12,1,4.0,0.5,0.6666666666666666,2.6666666666666665,0,0,0,7,251,0,0,0,34.0,38.0,-4.0,0,1,1,FK Bodø/Glimt,FK Crvena Zvezda,2024-08-20 21:00:00+00:00,2.0,1.0
1,0,2,3,1,0,2,3,4,4,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0,0,0,252,253,0,0,0,46.0,42.0,4.0,0,1,1,BSC Young Boys,Galatasaray SK,2024-08-21 21:00:00+00:00,3.0,2.0
2,0,0,6,1,2,0,5,10,11,1.5,0.0,1.0,0.6666666666666666,0,0,0,8,8,0,0,0,50.0,50.0,0.0,0,1,0,FC Midtjylland,ŠK Slovan Bratislava,2024-08-21 21:00:00+00:00,1.0,1.0
1,1,0,4,2,0,0,6,7,10,3.0,1.5,2.5,1.0,0,0,0,8,8,0,0,0,50.0,45.0,5.0,0,1,2,Malmö FF,AC Sparta Praha,2024-08-21 21:00:00+00:00,0.0,2.0
1,1,0,4,1,2,1,5,10,5,3.5,1.5,1.5,1.25,0,0,0,8,8,0,0,0,50.0,54.0,-4.0,0,1,2,Dinamo Kiev,FC Red Bull Salzburg,2024-08-21 21:00:00+00:00,0.0,2.0
0,2,1,2,0,1,2,1,1,6,2.0,2.6666666666666665,1.0,2.3333333333333335,0,1,0,6,6,0,0,0,42.0,46.0,-4.0,0,1,2,Galatasaray SK,BSC Young Boys,2024-08-27 21:00:00+00:00,0.0,1.0
